Countries,Year,Trade_GDP,Inflation_Rate,Unemployment_Rate,POST_WTO,Interaction
Canada,1992,52.7380309449972,1.49013290374545,11.197,0,0.0
Canada,1993,58.2507961453047,1.86507936507938,11.377,0,0.0
Canada,1994,64.3915441455001,0.165562913907291,10.395,0,0.0
Canada,1995,69.0617480799547,2.14876033057849,9.489,0,0.0
Canada,1996,70.2600734560392,1.57053112507137,9.62,0,0.0
Canada,1997,74.3366100816522,1.6212163808453,9.1,0,0.0
Canada,1998,78.0811853628611,0.995942456658019,8.278,0,0.0
Canada,1999,80.1150293129295,1.73484295105918,7.583,0,0.0
Canada,2000,82.7653578503214,2.71943995691976,6.829,0,0.0
Canada,2001,78.3442183943698,2.52512013979905,7.219,1,7.219
Canada,2002,75.7070320779233,2.25839440940855,7.665,1,7.665
Canada,2003,69.8400946170607,2.75856321360112,7.574,1,7.574
Canada,2004,70.1924199909562,1.85725871857256,7.185,1,7.185
Canada,2005,69.7591330167357,2.21355203439767,6.758,1,6.758
Canada,2006,68.0521644769988,2.00202539534161,6.484,1,6.484
Canada,2007,66.2834197482347,2.13838399266837,6.156,1,6.156
Canada,2008,67.0236083618983,2.37027067444298,6.284,1,6.284
Canada,2009,58.4743918224897,0.299466803009299,8.46,1,8.46
Canada,2010,60.2081215044483,1.77687154092627,8.178,1,8.178
Canada,2011,62.4987387708328,2.91213508872351,7.637,1,7.637
Canada,2012,62.5955489395005,1.51567823124516,7.392,1,7.392
Canada,2013,62.2310749013405,0.938291897815316,7.143,1,7.143
Canada,2014,64.3786621564923,1.90663590717861,7.023,1,7.023
Canada,2015,66.1649020669781,1.12524136094277,6.945,1,6.945
Canada,2016,65.3636845215556,1.42875954701085,7.038,1,7.038
Canada,2017,65.1010608504649,1.59688412852976,6.426,1,6.426
Canada,2018,66.5998858508762,2.26822567248103,5.837,1,5.837
Canada,2019,66.1714852804959,1.94926902411592,5.69,1,5.69
Canada,2020,61.1567709632763,0.716999632307827,9.657,1,9.657
Canada,2021,62.2468367159421,3.39519318527527,7.527,1,7.527
Canada,2022,67.3176215563989,6.80280115341612,5.279,1,5.279
Canada,2023,66.6323313370668,3.87900159788425,5.415,1,5.415
Canada,2024,65.1499212653783,2.38158383281173,6.351,1,6.351
France,1991,44.9537001550562,3.21340732409677,9.134,0,0.0
France,1992,43.963354493583,2.36376046269355,10.203,0,0.0
France,1993,41.7256163123108,2.10446277124642,11.32,0,0.0
France,1994,43.7513491504061,1.65551532926999,12.593,0,0.0
France,1995,45.4316616938638,1.79648142095589,11.834,0,0.0
France,1996,46.1124801589641,1.98288365089738,12.367,0,0.0
France,1997,49.803453474736,1.20394294026963,12.566,0,0.0
France,1998,51.4214328030771,0.651126867833072,12.074,0,0.0
France,1999,51.6706614638734,0.537141639134596,11.981,0,0.0
France,2000,57.7860470318197,1.67595988720928,10.218,0,0.0
France,2001,56.8932328560722,1.63478079549599,8.61,1,8.61
France,2002,55.1325248503102,1.92341228727063,8.702,1,8.702
France,2003,52.5988822870657,2.09847219146919,8.306,1,8.306
France,2004,53.7497648292028,2.14208964640238,8.914,1,8.914
France,2005,55.8228361241299,1.74586936380487,8.882,1,8.882
France,2006,57.8692775292673,1.67512449608726,8.832,1,8.832
France,2007,58.1525611309659,1.48799805953859,8.008,1,8.008
France,2008,59.1797928411748,2.81286194914785,7.386,1,7.386
France,2009,52.1991123027613,0.0876204781574653,9.122,1,9.122
France,2010,56.587555247796,1.53112270420918,9.279,1,9.279
France,2011,60.6056354816406,2.11159795175,9.228,1,9.228
France,2012,61.6589570771102,1.95419531613509,9.841,1,9.841
France,2013,61.8192338733962,0.863715497861804,9.913,1,9.913
France,2014,62.1992669379507,0.507758822937989,10.273,1,10.273
France,2015,63.5046871956484,0.0375143805125181,10.354,1,10.354
France,2016,63.3427564383351,0.183334861123764,10.057,1,10.057
France,2017,65.3958481559711,1.03228275064681,9.409,1,9.409
France,2018,66.8022607812266,1.85081508315492,9.018,1,9.018
France,2019,66.4289771741449,1.10825492288293,8.415,1,8.415
France,2020,58.8388907240647,0.476498852725065,8.009,1,8.009
France,2021,63.788482630872,1.64233141038393,7.871,1,7.871
France,2022,75.9630077981996,5.22236748369725,7.303,1,7.303
France,2023,70.6261450610225,4.8783572650844,7.335,1,7.335
France,2024,68.1081875443744,1.99904942291462,7.4,1,7.4
Germany,1991,47.6354131979568,4.04703259753466,5.316,0,0.0
Germany,1992,44.6840440028306,5.0569779673173,6.323,0,0.0
Germany,1993,39.7493939704326,4.47457650752808,7.675,0,0.0
Germany,1994,41.0957443335763,2.69305639854954,8.727,0,0.0
Germany,1995,42.6061486475818,1.70616041317076,8.158,0,0.0
Germany,1996,43.903586095325,1.44972701963238,8.822,0,0.0
Germany,1997,48.380321068738,1.93937198922729,9.861,0,0.0
Germany,1998,50.1554657792327,0.911183535014403,9.787,0,0.0
Germany,1999,51.519227436406,0.585433064230783,8.854,0,0.0
Germany,2000,59.1955992975405,1.44026838719741,7.917,0,0.0
Germany,2001,59.5592863682118,1.98385731334471,7.773,1,7.773
Germany,2002,58.3325687248129,1.42080615551526,8.482,1,8.482
Germany,2003,58.9145442942507,1.03422218628562,9.779,1,9.779
Germany,2004,62.9064909465164,1.66573696655991,10.727,1,10.727
Germany,2005,66.9531024934321,1.54691114751328,11.193,1,11.193
Germany,2006,72.7591934646234,1.57742642840563,10.277,1,10.277
Germany,2007,74.8838416816798,2.2983440070095,8.732,1,8.732
Germany,2008,76.1131665945746,2.62837981637219,7.508,1,7.508
Germany,2009,66.1391275757126,0.312739007368446,7.88,1,7.88
Germany,2010,73.8852351200263,1.1038103778926,7.043,1,7.043
Germany,2011,78.433002901442,2.07517283735874,5.967,1,5.967
Germany,2012,79.3316495670315,2.00848884782956,5.372,1,5.372
Germany,2013,77.5860288576931,1.50472330251876,5.316,1,5.316
Germany,2014,76.8483516336234,0.906794000434245,4.979,1,4.979
Germany,2015,77.7565815686922,0.514426137125456,4.612,1,4.612
Germany,2016,76.0059902166055,0.491747008445174,4.104,1,4.104
Germany,2017,77.4548394742448,1.50949485109628,3.781,1,3.781
Germany,2018,79.1252260463654,1.73216879766941,3.384,1,3.384
Germany,2019,79.0732427175683,1.44565976888253,3.163,1,3.163
Germany,2020,72.9335327120137,0.144877925813981,3.881,1,3.881
Germany,2021,79.9195348609851,3.06666666666673,3.594,1,3.594
Germany,2022,88.7857542130501,6.87257438551096,3.137,1,3.137
Germany,2023,81.9625483787634,5.94643667725823,3.071,1,3.071
Germany,2024,79.0907305894936,2.2564981433876,3.4,1,3.4
Italy,1991,33.8005339555877,6.24999929790291,10.097,0,0.0
Italy,1992,34.8334276236699,5.2705899859293,9.321,0,0.0
Italy,1993,37.6724019624473,4.62673468331298,10.212,0,0.0
Italy,1994,40.3620026081266,4.05184218065716,11.086,0,0.0
Italy,1995,45.5795026636995,5.23542258044301,11.661,0,0.0
Italy,1996,42.8020490474117,4.0069766898104,11.864,0,0.0
Italy,1997,44.4771651978702,2.04310779750136,11.985,0,0.0
Italy,1998,44.997874273345,1.95508557719381,12.117,0,0.0
Italy,1999,44.5298402267013,1.66345995007714,11.681,0,0.0
Italy,2000,50.2747311455639,2.53768532095002,10.834,0,0.0
Italy,2001,49.8632723203495,2.78516542713554,9.599,1,9.599
Italy,2002,47.8713186791542,2.46532319171165,9.211,1,9.211
Italy,2003,45.9940859777074,2.6725555277285,8.869,1,8.869
Italy,2004,47.2663923891771,2.20673661423657,7.866,1,7.866
Italy,2005,49.1221742288618,1.9852929852798,7.73,1,7.73
Italy,2006,52.9235429597012,2.09084391012754,6.777,1,6.777
Italy,2007,54.8280415572531,1.82974112202403,6.076,1,6.076
Italy,2008,54.2142548956671,3.34783258401022,6.723,1,6.723
Italy,2009,45.1414765721604,0.774768131387381,7.749,1,7.749
Italy,2010,51.6621118138339,1.52551602118248,8.363,1,8.363
Italy,2011,54.4722149449288,2.78063272879323,8.359,1,8.359
Italy,2012,54.8844952702204,3.04136333226775,10.655,1,10.655
Italy,2013,54.0341846317499,1.21999342274306,12.149,1,12.149
Italy,2014,54.4545299332032,0.241047429826756,12.683,1,12.683
Italy,2015,55.4356858148221,0.0387903996579733,11.896,1,11.896
Italy,2016,54.4321467018313,-0.09401665691575,11.688,1,11.688
Italy,2017,57.5829940274911,1.22653316645812,11.211,1,11.211
Italy,2018,59.2749835128154,1.13748763600391,10.538,1,10.538
Italy,2019,58.6941902594738,0.611246943765304,9.884,1,9.884
Italy,2020,53.9394839042764,-0.13770757391651,9.192,1,9.192
Italy,2021,60.3019776202798,1.87378325762481,9.497,1,9.497
Italy,2022,72.0165023032697,8.20128991161718,8.069,1,8.069
Italy,2023,65.1071778763174,5.62219442195901,7.627,1,7.627
Italy,2024,62.8237685119526,0.982373023061417,6.5,1,6.5
Japan,1991,17.7594512543168,3.25143848753308,2.059,0,0.0
Japan,1992,17.018068824019,1.7602830605927,2.158,0,0.0
Japan,1993,15.7233391305175,1.24304589707924,2.539,0,0.0
Japan,1994,15.8103062322757,0.695458057869004,2.89,0,0.0
Japan,1995,16.3901049340172,-0.127899045020446,3.15,0,0.0
Japan,1996,18.2538682255522,0.136600358575909,3.383,0,0.0
Japan,1997,19.7835176233669,1.74780458692133,3.374,0,0.0
Japan,1998,19.0031862223377,0.661974191385911,4.078,0,0.0
Japan,1999,18.1256307166911,-0.341296928327554,4.677,0,0.0
Japan,2000,19.5623715839054,-0.676578683595175,4.748,0,0.0
Japan,2001,19.5596044720071,-0.740055504162738,5.02,1,5.02
Japan,2002,20.4471220661583,-0.923494026942321,5.386,1,5.386
Japan,2003,21.3261252678119,-0.256541816316025,5.251,1,5.251
Japan,2004,23.6643534228975,-0.00857338820310272,4.734,1,4.734
Japan,2005,26.2299545778565,-0.282946068764391,4.446,1,4.446
Japan,2006,30.0163760986692,0.249355116079085,4.192,1,4.192
Japan,2007,32.816578051879,0.060039454498669,3.888,1,3.888
Japan,2008,34.1294765412245,1.3800788616492,4.002,1,4.002
Japan,2009,24.3901665338555,-1.35283672951719,5.068,1,5.068
Japan,2010,28.4984726938389,-0.728243207517779,5.102,1,5.102
Japan,2011,30.1949607286296,-0.27245561610124,4.55,1,4.55
Japan,2012,30.4709109171752,-0.0440645104432602,4.358,1,4.358
Japan,2013,33.9787686509511,0.335037912184741,4.038,1,4.038
Japan,2014,37.4314345686579,2.75922671353253,3.589,1,3.589
Japan,2015,35.4274083544798,0.795279630579839,3.385,1,3.385
Japan,2016,31.3102468455884,-0.127258844489754,3.132,1,3.132
Japan,2017,34.4232135721686,0.484199796126385,2.822,1,2.822
Japan,2018,36.609931802107,0.989094598021848,2.467,1,2.467
Japan,2019,35.2164181084145,0.46877615938395,2.351,1,2.351
Japan,2020,31.335208636773,-0.024995834027731,2.809,1,2.809
Japan,2021,36.7384462280698,-0.233352779398264,2.808,1,2.808
Japan,2022,46.8129868368938,2.49770278172255,2.614,1,2.614
Japan,2023,45.1508795641248,3.26813365933163,2.6,1,2.6
Japan,2024,46.4069516150859,2.73853681635241,2.5,1,2.5
Mexico,1991,35.7865351574196,22.662359455061,3.145,0,0.0
Mexico,1992,35.553495904112,15.5078962533573,3.235,0,0.0
Mexico,1993,26.1631235736702,9.75146045357553,3.365,0,0.0
Mexico,1994,29.1584721341582,6.96581237191123,4.436,0,0.0
Mexico,1995,43.6658317263397,34.9992712889592,7.095,0,0.0
Mexico,1996,47.7678235339067,34.3783832235168,5.465,0,0.0
Mexico,1997,46.4918755715735,20.6256287259247,4.235,0,0.0
Mexico,1998,48.0318841400179,15.9283950119353,3.733,0,0.0
Mexico,1999,48.0122495761105,16.5856169707538,2.598,0,0.0
Mexico,2000,49.9104091872497,9.49156149435403,2.646,0,0.0
Mexico,2001,44.7401090123173,6.36773806235037,2.627,1,2.627
Mexico,2002,45.209829259652,5.03072733151295,3.003,1,3.003
Mexico,2003,48.700416880838,4.54690012118718,3.455,1,3.455
Mexico,2004,52.0406200335632,4.68840884843143,3.937,1,3.937
Mexico,2005,52.5626446517886,3.98805714597437,3.558,1,3.558
Mexico,2006,54.4821160886169,3.62946762439132,3.566,1,3.566
Mexico,2007,55.2585243944498,3.96684905458235,3.628,1,3.628
Mexico,2008,56.3652818862573,5.12498274575896,3.874,1,3.874
Mexico,2009,54.5917421313503,5.29735584228856,5.356,1,5.356
Mexico,2010,59.2733845293851,4.15672722680174,5.303,1,5.303
Mexico,2011,62.1623872764498,3.40737824605742,5.175,1,5.175
Mexico,2012,64.2579318900113,4.11150981070289,4.892,1,4.892
Mexico,2013,62.6916747735807,3.80639069747204,4.921,1,4.921
Mexico,2014,64.0984090351215,4.01861608078679,4.819,1,4.819
Mexico,2015,70.412974676264,2.72064064964023,4.311,1,4.311
Mexico,2016,75.6903034088551,2.8217078474766,3.853,1,3.853
Mexico,2017,76.9521260407254,6.04145724018986,3.419,1,3.419
Mexico,2018,80.2126616568975,4.89935015356551,3.275,1,3.275
Mexico,2019,77.4619722571128,3.63596142127046,3.477,1,3.477
Mexico,2020,76.8545557056016,3.39683415570006,4.44,1,4.44
Mexico,2021,83.0692976357895,5.68920847683753,4.019,1,4.019
Mexico,2022,88.7984855867186,7.8962761916855,3.256,1,3.256
Mexico,2023,73.5788616365245,5.52796087314389,2.765,1,2.765
Mexico,2024,74.5889079825143,4.72225588452932,2.678,1,2.678
Netherlands,1991,105.194616821176,3.15819751859096,7.285,0,0.0
Netherlands,1992,102.080770696115,3.18358569499581,5.555,0,0.0
Netherlands,1993,99.0328336645559,2.58418115634715,6.287,0,0.0
Netherlands,1994,103.046028953898,2.80152693672192,7.159,0,0.0
Netherlands,1995,107.916808067097,1.92322457166359,7.157,0,0.0
Netherlands,1996,108.664639443962,2.11378787066774,6.421,0,0.0
Netherlands,1997,114.295027863442,2.10924562739483,5.511,0,0.0
Netherlands,1998,112.408095451564,1.95913632274257,4.394,0,0.0
Netherlands,1999,114.327740793016,2.1571791805505,3.622,0,0.0
Netherlands,2000,125.667030082421,2.36052233801958,2.725,0,0.0
Netherlands,2001,119.47546387654,4.15584127195612,2.119,1,2.119
Netherlands,2002,112.750024358671,3.28753104712766,2.554,1,2.554
Netherlands,2003,111.30450319576,2.09199838997655,3.593,1,3.593
Netherlands,2004,116.958160026939,1.26364739183177,4.646,1,4.646
Netherlands,2005,122.255849523252,1.6881301786962,5.872,1,5.872
Netherlands,2006,127.195613539333,1.10150106517709,5.007,1,5.007
Netherlands,2007,129.798241740597,1.61385859802102,4.153,1,4.153
Netherlands,2008,130.152049980117,2.48650198289457,3.658,1,3.658
Netherlands,2009,115.109660363107,1.18977687021548,4.352,1,4.352
Netherlands,2010,130.081707935343,1.27530569556679,4.991,1,4.991
Netherlands,2011,141.757099325776,2.34107017751373,4.977,1,4.977
Netherlands,2012,149.393223058131,2.45554765291614,5.821,1,5.821
Netherlands,2013,150.651850226949,2.50689852657875,7.241,1,7.241
Netherlands,2014,151.715891056501,0.976035079699679,7.419,1,7.419
Netherlands,2015,160.325812564809,0.600248147278776,6.872,1,6.872
Netherlands,2016,150.96552921165,0.316666666666652,6.007,1,6.007
Netherlands,2017,159.646059656847,1.38145871407216,4.837,1,4.837
Netherlands,2018,163.559146573044,1.70349794744479,3.832,1,3.832
Netherlands,2019,160.676671884999,2.63369910249591,3.379,1,3.379
Netherlands,2020,152.233230409706,1.27246037789161,3.82,1,3.82
Netherlands,2021,163.154842689698,2.67572008805385,4.209,1,4.209
Netherlands,2022,184.107484252682,10.0012078753473,3.526,1,3.526
Netherlands,2023,165.030429478933,3.83839354342808,3.535,1,3.535
Netherlands,2024,153.83065216636,3.34754304219953,3.7,1,3.7
Singapore,1991,323.887994825751,3.42570173078643,2.18,0,0.0
Singapore,1992,311.312267281518,2.26307118702851,3.09,0,0.0
Singapore,1993,313.416139807665,2.28929964388641,3.07,0,0.0
Singapore,1994,316.216547584567,3.10013262599502,3.03,0,0.0
Singapore,1995,345.459263895462,1.72053384788524,3.3,0,0.0
Singapore,1996,334.911163288092,1.38318052481876,3.57,0,0.0
Singapore,1997,323.86442214814,2.00358618538962,2.5,0,0.0
Singapore,1998,312.079255674686,-0.267502292876153,3.41,0,0.0
Singapore,1999,336.484846412882,0.0167098337370727,4.85,0,0.0
Singapore,2000,364.364520468218,1.36162392448456,3.7,0,0.0
Singapore,2001,349.292105694978,0.997197956155943,3.76,1,3.76
Singapore,2002,349.746013985676,-0.391676866585049,5.65,1,5.65
Singapore,2003,377.218564301581,0.507905300237551,5.93,1,5.93
Singapore,2004,401.523712538509,1.66272719863072,5.84,1,5.84
Singapore,2005,420.430512920559,0.425106276569107,5.59,1,5.59
Singapore,2006,425.363399543019,0.965657519018511,4.48,1,4.48
Singapore,2007,394.288471919078,2.10980166714574,3.9,1,3.9
Singapore,2008,437.326714891057,6.63544058395309,3.96,1,3.96
Singapore,2009,358.192811828842,0.589142019610516,5.86,1,5.86
Singapore,2010,369.685555787646,2.82884527612958,4.12,1,4.12
Singapore,2011,379.098631377539,5.25115624639373,3.89,1,3.89
Singapore,2012,369.212965787665,4.58084479423094,3.72,1,3.72
Singapore,2013,367.041780049019,2.36439793742726,3.86,1,3.86
Singapore,2014,360.467319166237,1.03316955857629,3.74,1,3.74
Singapore,2015,329.471398940262,-0.521975611895763,3.79,1,3.79
Singapore,2016,302.839656046574,-0.529809760375464,4.08,1,4.08
Singapore,2017,316.794409287568,0.576763191179996,4.2,1,4.2
Singapore,2018,326.59658728675,0.438784215129623,3.613,1,3.613
Singapore,2019,324.394985115301,0.567829988405447,3.1,1,3.1
Singapore,2020,332.040805481913,-0.172111865925382,4.1,1,4.1
Singapore,2021,329.161383683762,2.31610315765146,4.64,1,4.64
Singapore,2022,332.34956775484,6.13095418919732,3.591,1,3.591
Singapore,2023,325.69322405378,4.83372362825798,3.444,1,3.444
Singapore,2024,322.371427934716,2.38951123595017,2.737,1,2.737
South Korea,1991,48.2898598963294,9.33279048161495,2.407,0,0.0
South Korea,1992,47.2068242485094,6.21328146355184,2.513,0,0.0
South Korea,1993,45.4216180794097,4.80099660215354,2.878,0,0.0
South Korea,1994,47.7418242135125,6.26585950039679,2.476,0,0.0
South Korea,1995,51.3967337856387,4.48074108557248,2.063,0,0.0
South Korea,1996,51.6134521171463,4.92454354292754,2.048,0,0.0
South Korea,1997,55.894947743273,4.4389318457463,2.608,0,0.0
South Korea,1998,66.3289851108207,7.51358008079307,6.963,0,0.0
South Korea,1999,57.8948578896383,0.81295725444637,6.342,0,0.0
South Korea,2000,64.0588155729056,2.25916580080157,4.063,0,0.0
South Korea,2001,60.4277386641693,4.06657587897792,3.699,1,3.699
South Korea,2002,56.6688767960273,2.76226210296599,3.046,1,3.046
South Korea,2003,59.4242945541732,3.51487451459939,3.348,1,3.348
South Korea,2004,67.9270638751076,3.59066298882578,3.42,1,3.42
South Korea,2005,66.1695148242697,2.75379162735039,3.482,1,3.482
South Korea,2006,68.3749509402263,2.24234028518921,3.254,1,3.254
South Korea,2007,71.3239614988013,2.53457382137932,3.013,1,3.013
South Korea,2008,92.0833544961819,4.67389655533408,2.959,1,2.959
South Korea,2009,83.1246099057162,2.7564965449393,3.363,1,3.363
South Korea,2010,88.0278677123124,2.93928652655686,3.324,1,3.324
South Korea,2011,101.68061646213,4.0259650043609,2.992,1,2.992
South Korea,2012,101.51727207905,2.18707104433314,2.812,1,2.812
South Korea,2013,94.1675235855873,1.30134754547413,3.067,1,3.067
South Korea,2014,86.9342577972039,1.27477446401322,3.082,1,3.082
South Korea,2015,75.3881774564907,0.70633177245575,3.546,1,3.546
South Korea,2016,69.8997221316919,0.971685739912168,3.65,1,3.65
South Korea,2017,73.1921408264016,1.94433230786366,3.653,1,3.653
South Korea,2018,74.7075162140824,1.47583935002645,3.824,1,3.824
South Korea,2019,71.4470632403511,0.383000303608136,3.746,1,3.746
South Korea,2020,65.544957860621,0.537288023411737,3.931,1,3.931
South Korea,2021,75.3063047610912,2.49833333333339,3.639,1,3.639
South Korea,2022,90.5851475278549,5.08951365062842,2.857,1,2.857
South Korea,2023,82.2580090716629,3.5974562502901,2.675,1,2.675
South Korea,2024,84.6424951192038,2.32174328643542,2.784,1,2.784
Spain,1991,35.5206586037759,5.93421344335924,15.929,0,0.0
Spain,1992,36.020774482446,5.92453126228489,17.697,0,0.0
Spain,1993,36.9951619593819,4.56907173681813,22.156,0,0.0
Spain,1994,41.6958801099563,4.71841373967329,24.209,0,0.0
Spain,1995,44.8306279725111,4.67380337624704,22.675,0,0.0
Spain,1996,46.2977506718533,3.55884559338557,22.142,0,0.0
Spain,1997,51.2271398594527,1.97107395582926,20.698,0,0.0
Spain,1998,52.730313072059,1.83432999908409,18.673,0,0.0
Spain,1999,54.6969131882495,2.31034813987067,15.475,0,0.0
Spain,2000,60.1216241049216,3.43351563418766,13.785,0,0.0
Spain,2001,58.0138895625701,3.58983413338112,10.348,1,10.348
Spain,2002,55.1021415309759,3.06565685902219,11.146,1,11.146
Spain,2003,53.4357897202258,3.03888839396655,11.283,1,11.283
Spain,2004,54.4795182656074,3.03924881090924,11.09,1,11.09
Spain,2005,54.6991667043772,3.36881409750383,9.146,1,9.146
Spain,2006,56.0839263823216,3.51557576832128,8.452,1,8.452
Spain,2007,57.6269487657546,2.78679745804945,8.232,1,8.232
Spain,2008,55.8281315172523,4.07534335957339,11.254,1,11.254
Spain,2009,46.8366899971109,-0.28781308353524,17.857,1,17.857
Spain,2010,52.6933699734019,1.79986457728768,19.86,1,19.86
Spain,2011,58.5118228859632,3.1961018883379,21.39,1,21.39
Spain,2012,60.5540346961864,2.44612782366808,24.789,1,24.789
Spain,2013,61.6687726441327,1.40858109183018,26.094,1,26.094
Spain,2014,63.39926213895,-0.151114837527234,24.441,1,24.441
Spain,2015,63.5820412248232,-0.500365709903242,22.057,1,22.057
Spain,2016,63.1886778507294,-0.202598000426452,19.635,1,19.635
Spain,2017,66.167446137857,1.95607633363963,17.224,1,17.224
Spain,2018,67.0094103982921,1.6749813686379,15.255,1,15.255
Spain,2019,66.3662250440692,0.699518994458738,14.104,1,14.104
Spain,2020,59.4461280147076,-0.322753017299739,15.532,1,15.532
Spain,2021,66.524588943191,3.09313511976419,14.914,1,14.914
Spain,2022,78.4657338703054,8.39057634118626,13.033,1,13.033
Spain,2023,71.7976366055733,3.53236133492432,12.179,1,12.179
Spain,2024,69.9502612382631,2.77417826534772,11.4,1,11.4
United Kingdom,1991,45.3156600809302,7.46178295746934,8.55,0,0.0
United Kingdom,1992,46.3059467099097,4.59154929577461,9.772,0,0.0
United Kingdom,1993,49.7481967801462,2.55857796929705,10.346,0,0.0
United Kingdom,1994,51.886107010773,2.21901260504205,9.648,0,0.0
United Kingdom,1995,50.8300766971451,2.69749518304432,8.694,0,0.0
United Kingdom,1996,52.0576088895797,2.85178236397749,8.189,0,0.0
United Kingdom,1997,50.7045618383811,2.20114313510882,7.072,0,0.0
United Kingdom,1998,49.1409088914683,1.82056163731557,6.198,0,0.0
United Kingdom,1999,49.4683905163429,1.7529508005142,6.042,0,0.0
United Kingdom,2000,52.3380212335903,1.18295624210408,5.558,0,0.0
United Kingdom,2001,52.6342367336438,1.53234960272418,4.696,1,4.696
United Kingdom,2002,51.2361820991323,1.52040245947455,5.037,1,5.037
United Kingdom,2003,50.0681187039704,1.37650038542013,4.807,1,4.807
United Kingdom,2004,50.2885521756133,1.39039756680422,4.594,1,4.594
United Kingdom,2005,52.5442740383211,2.0891364902507,4.884,1,4.884
United Kingdom,2006,56.7047791729812,2.4556616643929,5.472,1,5.472
United Kingdom,2007,52.7493524964733,2.38656150773327,5.399,1,5.399
United Kingdom,2008,56.4365501052604,3.52140856342539,5.748,1,5.748
United Kingdom,2009,54.6537301085991,1.96173173560109,7.683,1,7.683
United Kingdom,2010,59.0511802227821,2.49265472467065,7.973,1,7.973
United Kingdom,2011,63.3240615708901,3.8561124468282,8.195,1,8.195
United Kingdom,2012,61.9688704472535,2.5732347965453,8.279,1,8.279
United Kingdom,2013,61.7195395154583,2.29166666666659,7.752,1,7.752
United Kingdom,2014,58.8210228333296,1.45112016293279,6.398,1,6.398
United Kingdom,2015,57.125044605439,0.36804684232536,5.552,1,5.552
United Kingdom,2016,59.8395315138259,1.0084173681141,4.909,1,4.909
United Kingdom,2017,63.1899245764158,2.55775577557747,4.501,1,4.501
United Kingdom,2018,64.9097721959201,2.29283990345938,4.145,1,4.145
United Kingdom,2019,65.0035664177054,1.73810460086513,3.657,1,3.657
United Kingdom,2020,59.1598893030611,0.989486703772491,4.472,1,4.472
United Kingdom,2021,58.53838629291,2.51837109614213,4.864,1,4.864
United Kingdom,2022,69.1989264413981,7.92204883147902,3.768,1,3.768
United Kingdom,2023,64.9923841747803,6.79396706793963,4.025,1,4.025
United Kingdom,2024,62.8401605267118,3.2715729463592,4.361,1,4.361
United States,1991,19.7864481240974,4.23496396453849,6.8,0,0.0
United States,1992,19.9505945023923,3.02881967814969,7.5,0,0.0
United States,1993,20.0446187019752,2.95165696638559,6.9,0,0.0
United States,1994,21.0554591617453,2.60744159215453,6.119,0,0.0
United States,1995,22.4533816490568,2.80541968853662,5.65,0,0.0
United States,1996,22.6870719902412,2.93120419993441,5.451,0,0.0
United States,1997,23.4283210916839,2.33768993730735,5.0,0,0.0
United States,1998,22.8258909523693,1.55227909874364,4.511,0,0.0
United States,1999,23.3135637046602,2.18802719697358,4.219,0,0.0
